filename,width,height,class,xmin,ymin,xmax,ymax
12021720.png,180,180,smile,71,90,116,115
12066084.png,180,180,smile,75,89,107,104
127925.png,180,180,smile,75,98,107,116
13116862.png,180,180,smile,71,102,109,124
13135061.png,180,180,smile,74,95,111,113
14020763.png,180,180,smile,75,97,110,113
14021900.png,180,180,smile,71,85,110,108
14025513.png,180,180,smile,75,97,109,116
1510305.png,180,180,smile,75,89,113,109
151741.png,180,180,smile,76,95,106,115
1700114.png,180,180,smile,72,92,109,112
18009139.png,180,180,smile,67,93,110,114
18029100.png,180,180,smile,70,94,106,110
18032188.png,180,180,smile,72,94,114,114
18045347.png,180,180,smile,73,96,110,113
1804808.png,180,180,smile,72,100,107,114
18091791.png,180,180,smile,78,95,110,110
19099575.png,180,180,smile,74,85,109,100
19143371.png,180,180,smile,69,89,109,108
19152048.png,180,180,smile,69,93,104,107
19158043.png,180,180,smile,75,94,105,106
19159362.png,180,180,smile,69,98,114,117
19192323.png,180,180,smile,69,94,108,110
19220266.png,180,180,smile,73,90,109,110
19270959.png,180,180,smile,70,87,105,104
24016925.png,180,180,smile,73,85,110,102
25017284.png,180,180,smile,71,88,108,103
27000592.png,180,180,smile,70,100,107,116
27013431.png,180,180,smile,73,86,105,99
27038664.png,180,180,smile,71,97,102,114
27058392.png,180,180,smile,76,95,109,113
27066387.png,180,180,smile,77,91,105,107
28000463.png,180,180,smile,72,85,110,99
28000482.png,180,180,smile,73,89,108,107
28000909.png,180,180,smile,75,98,110,113
28004100.png,180,180,smile,76,91,108,106
28004396.png,180,180,smile,72,94,105,109
28005568.png,180,180,smile,71,98,108,111
28005834.png,180,180,smile,69,100,106,116
28006277.png,180,180,smile,72,97,109,113
28010835.png,180,180,smile,74,99,107,111
28011401.png,180,180,smile,72,98,110,114
28011776.png,180,180,smile,75,101,109,115
28016318.png,180,180,smile,74,93,107,105
28025033.png,180,180,smile,73,102,106,118
28028494.png,180,180,smile,73,95,104,108
28028902.png,180,180,smile,74,98,107,110
28030306.png,180,180,smile,72,94,104,105
28046572.png,180,180,smile,71,102,111,115
28047452.png,180,180,smile,72,99,109,111
28047506.png,180,180,smile,71,98,106,111
28047558.png,180,180,smile,74,93,107,105
28047560.png,180,180,smile,80,95,111,108
28047904.png,180,180,smile,80,103,111,115
28049316.png,180,180,smile,74,93,107,105
28049318.png,180,180,smile,75,98,105,108
28049740.png,180,180,smile,74,99,106,111
28049754.png,180,180,smile,72,88,108,100
28053447.png,180,180,smile,75,85,105,97
28054109.png,180,180,smile,71,91,110,106
28054565.png,180,180,smile,74,95,107,108
28058224.png,180,180,smile,78,100,109,110
28058513.png,180,180,smile,72,80,106,98
28059140.png,180,180,smile,72,101,107,116
28059434.png,180,180,smile,75,98,105,110
28059634.png,180,180,smile,73,96,111,111
28060397.png,180,180,smile,77,102,107,113
28067790.png,180,180,smile,77,102,108,115
28068727.png,180,180,smile,71,85,109,103
28084714.png,180,180,smile,77,90,107,102
28085588.png,180,180,smile,74,93,107,110
28093567.png,180,180,smile,74,94,103,108
28095584.png,180,180,smile,68,95,105,111
28100123.png,180,180,smile,73,94,109,111
28100152.png,180,180,smile,70,92,102,109
28100360.png,180,180,smile,72,93,105,106
28104124.png,180,180,smile,75,101,110,118
28106491.png,180,180,smile,74,92,110,106
29000737.png,180,180,smile,77,94,108,108
29001228.png,180,180,smile,79,94,107,105
29006726.png,180,180,smile,71,89,108,107
29007273.png,180,180,smile,71,94,108,107
29010506.png,180,180,smile,73,97,108,113
29011205.png,180,180,smile,78,98,107,110
29019771.png,180,180,smile,73,99,108,112
29045055.png,180,180,smile,74,95,107,110
29064633.png,180,180,smile,75,108,112,124
29071914.png,180,180,smile,75,91,108,105
